sample,cluster
sample 1,1
sample 7,1
sample 42,1
sample 70,1
sample 82,1
sample 83,1
sample 85,1
sample 86,1
sample 91,1
sample 92,1
sample 93,1
sample 94,1
sample 95,1
sample 96,1
sample 98,1
sample 100,1
sample 101,1
sample 102,1
sample 103,1
sample 104,1
sample 105,1
sample 106,1
sample 108,1
sample 109,1
sample 110,1
sample 111,1
sample 112,1
sample 114,1
sample 116,1
sample 117,1
sample 118,1
sample 121,1
sample 122,1
sample 124,1
sample 125,1
sample 126,1
sample 127,1
sample 129,1
sample 130,1
sample 131,1
sample 132,1
sample 133,1
sample 134,1
sample 135,1
sample 136,1
sample 137,1
sample 138,1
sample 139,1
sample 140,1
sample 141,1
sample 142,1
sample 145,1
sample 148,1
sample 150,1
sample 157,1
sample 158,1
sample 160,1
sample 162,1
sample 163,1
sample 166,1
sample 173,1
sample 174,1
sample 2,2
sample 3,2
sample 8,2
sample 9,2
sample 10,2
sample 15,2
sample 17,2
sample 18,2
sample 21,2
sample 22,2
sample 25,2
sample 26,2
sample 27,2
sample 30,2
sample 33,2
sample 35,2
sample 36,2
sample 37,2
sample 40,2
sample 45,2
sample 46,2
sample 48,2
sample 49,2
sample 51,2
sample 52,2
sample 54,2
sample 55,2
sample 57,2
sample 60,2
sample 65,2
sample 66,2
sample 67,2
sample 68,2
sample 69,2
sample 71,2
sample 72,2
sample 73,2
sample 74,2
sample 75,2
sample 76,2
sample 77,2
sample 78,2
sample 80,2
sample 84,2
sample 87,2
sample 88,2
sample 89,2
sample 90,2
sample 97,2
sample 99,2
sample 107,2
sample 113,2
sample 123,2
sample 4,3
sample 5,3
sample 6,3
sample 11,3
sample 12,3
sample 13,3
sample 14,3
sample 16,3
sample 19,3
sample 20,3
sample 23,3
sample 24,3
sample 28,3
sample 29,3
sample 31,3
sample 32,3
sample 34,3
sample 38,3
sample 44,3
sample 50,3
sample 53,3
sample 56,3
sample 58,3
sample 61,3
sample 62,3
sample 63,3
sample 79,3
sample 115,3
sample 119,3
sample 120,3
sample 128,3
sample 144,3
sample 146,3
sample 147,3
sample 149,3
sample 151,3
sample 152,3
sample 153,3
sample 155,3
sample 156,3
sample 159,3
sample 164,3
sample 165,3
sample 167,3
sample 169,3
sample 170,3
sample 171,3
sample 172,3
sample 175,3
sample 176,3
sample 177,3
sample 178,3
sample 179,3
sample 180,3
sample 181,3
sample 182,3
sample 183,3
sample 184,3
